danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity,listener_id
0.315,0.534,9,-7.552,0,0.031,8.25e-4,0.108,0.101,0.283,116.891,269720,3,House Of The Rising Sun,55,Erica
0.473,0.966,10,-6.714,1,0.0886,2.82e-4,0.0155,0.0714,0.0912,144.965,91839,4,Rock the Red (Washington Capitals Fight Song),9,Erica
0.615,0.438,1,-11.879,1,0.0373,0.582,0.0155,0.308,0.217,130.999,244465,4,99,28,Erica
0.861,0.229,0,-12.306,1,0.0882,0.252,0.00136,0.104,0.043,109.963,195273,4,Adventure,11,Erica
0.828,0.502,0,-6.053,1,0.0445,0.172,0.00102,0.0544,0.677,105.953,192139,4,Esther,0,Erica
0.691,0.65,0,-9.161,1,0.0351,0.389,0.918,0.0903,0.0909,120.01,374250,4,Master Tea,0,Erica
0.608,0.865,10,-5.648,1,0.1,0.014,2.97e-4,0.318,0.459,99.945,185947,4,barcelona (feat. Sasha Alex Sloan) - Oliver Nelson remix,28,Erica
0.706,0.604,2,-6.932,1,0.303,0.418,0,0.242,0.361,82.03,165029,4,fools (can't help falling in love) (feat. Sody),64,Erica
0.742,0.678,5,-4.605,0,0.192,0.0698,0,0.151,0.927,115.05,135521,4,Honeypie,0,Erica
0.732,0.956,2,-2.775,1,0.0708,0.017,6.99e-6,0.357,0.375,145.103,170807,4,Hitta (feat. Juicy J),50,Erica
0.702,0.55,4,-7.524,0,0.0247,0.0373,0.00234,0.147,0.535,106.003,212866,4,Touch,51,Erica
0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,257573,4,High By The Beach,67,Erica
0.537,0.315,5,-13.79,1,0.0271,0.588,2.29e-5,0.206,0.575,86.813,190320,4,Wildflowers,64,Erica
0.681,0.774,11,-8.001,0,0.06,0.372,5.74e-5,0.373,0.773,104.71,229404,4,Smile,0,Erica
0.682,0.72,11,-8.173,0,0.0381,0.326,0,0.148,0.673,117.003,169011,4,Run,70,Erica
0.476,0.594,5,-6.879,1,0.135,0.0599,0,0.0785,0.314,159.702,141050,4,Cover Me In Sunshine,70,Erica
0.8,0.66,0,-4.903,1,0.158,0.158,0.02,0.14,0.634,117.923,140012,4,Dandelion,63,Erica
0.809,0.613,2,-8.402,1,0.175,0.0685,0,0.107,0.562,104.991,252779,4,Long Beach,57,Erica
0.601,0.649,7,-6.979,1,0.133,0.166,3.35e-5,0.165,0.351,89.73,174720,4,Sensitive,21,Erica
0.733,0.414,0,-10.102,1,0.0375,0.502,0.0834,0.334,0.627,124.982,121000,4,Bioluminescent,8,Erica
0.385,0.501,0,-8.81,1,0.0429,0.231,0.55,0.226,0.118,120.065,246000,4,Transform,9,Erica
0.471,0.68,0,-6.059,1,0.134,0.429,0,0.758,0.489,86.414,240241,4,Kids in the Summer,7,Erica
0.582,0.334,11,-14.436,0,0.337,0.834,0.0171,0.0883,0.634,76.99,166150,4,To the Moon,0,Erica
0.775,0.412,2,-11.789,1,0.141,0.403,0,0.148,0.658,139.967,312000,4,Just Keep Goin',45,Erica
0.825,0.611,1,-7.728,1,0.184,0.0496,0,0.33,0.539,115.015,210608,4,Perfect World,36,Erica
