danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity
0.185,0.344,7,-9.378,1,0.0295,0.81,0,0.166,0.424,178.635,164160,3,Ooo Baby Baby,59
0.407,0.943,11,-1.735,1,0.324,0.0363,0.0515,0.319,0.306,173.495,195862,4,Realise,52
0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,229093,4,"Sugar, We're Goin Down",74
0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,Pumped Up Kicks,79
0.693,0.57,9,-8.103,1,0.237,0.283,2.43e-6,0.282,0.502,109.958,198087,4,Slow It Down (feat. Jordan Dennis),16
0.748,0.546,3,-8.898,1,0.0368,0.579,0.695,0.0919,0.822,79.762,96400,4,Fillmoe,37
0.681,0.647,1,-9.559,0,0.345,0.107,2.09e-6,0.352,0.614,168.012,200000,4,Spit in Ur Face B,36
0.878,0.714,8,-6.344,1,0.239,0.0528,7.64e-6,0.143,0.636,150.029,195600,4,Big Shot Cream Soda,70
0.516,0.877,1,-3.52,1,0.0435,0.00212,0,0.329,0.235,111.968,214587,4,Stay,51
0.797,0.504,0,-6.538,1,0.114,0.0199,2.46e-5,0.198,0.178,114.994,128418,4,O Pana!,66
0.77,0.819,0,-5.325,1,0.0946,0.00866,9.14e-5,0.293,0.228,129.96,214230,4,Grayscale,49
0.403,0.965,6,-2.238,1,0.0964,3.81e-5,2.76e-4,0.341,0.431,112.363,236293,4,King For A Day,74
0.539,0.671,1,-8,0,0.0379,0.00387,0.766,0.361,0.225,86.993,234013,4,Beg for Me,50
0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-5,0.11,0.151,113.986,236053,4,Young And Beautiful,79
0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,264773,4,Summertime Sadness,72
0.236,0.249,6,-9.595,0,0.0348,0.811,1e-6,0.087,0.181,72.847,281960,5,Video Games,67
0.753,0.484,9,-7.519,1,0.258,0.0149,0,0.135,0.597,79.668,211560,4,Caress Me Down,58
0.464,0.754,9,-6.653,0,0.128,0.465,1.57e-5,0.37,0.444,86.501,235627,4,Soundtrack 2 My Life,63
0.399,0.696,4,-9.98,0,0.0297,0.00141,0.871,0.339,0.792,126.835,159444,4,Pingpxng,45
0.847,0.601,11,-6.311,0,0.103,0.163,0.787,0.11,0.548,139.996,75429,4,AirplaneMode,72
0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,225147,4,Diamonds,73
0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,203733,4,Seek & Destroy,78
0.486,0.839,10,-4.5,1,0.158,0.327,0,0.048,0.398,165.948,296227,4,Love The Way You Lie (Part II) - Pt. 2,59
0.475,0.577,7,-3.979,1,0.0341,0.219,0,0.121,0.319,169.897,251600,4,California King Bed,45
0.788,0.71,11,-4.24,0,0.0426,0.113,1.22e-5,0.0638,0.632,125.919,235493,4,Only Girl (In The World),55
0.69,0.786,2,-2.959,1,0.0692,0.229,0,0.0797,0.583,100.049,263173,4,What's My Name?,55
0.766,0.682,1,-5.02,1,0.0419,0.0113,1.6e-4,0.104,0.833,127.966,243533,4,S&M,54
0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,238627,4,Disturbia,77
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-5,0.0535,0.542,122.668,267080,4,Don't Stop The Music,79
0.378,0.566,9,-7.685,0,0.0482,0.149,0,0.382,0.196,87.691,328907,3,Keep The Family Close,55
0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,192897,4,Take Me Where Your Heart Is,58
0.753,0.836,1,-5.506,0,0.044,0.101,8.96e-4,0.118,0.661,121.95,160850,4,Afterparty,61
0.403,0.698,9,-5.058,0,0.0357,0.00171,0.00126,0.256,0.0833,159.869,252954,4,Lullabies - Adventure Club Remix,49
0.846,0.891,1,-4.902,0,0.0652,3.94e-4,0.803,0.124,0.94,126.029,156216,4,In The Yuma (feat. Aatig),69
0.562,0.888,8,-5.647,0,0.0569,0.0172,8.85e-6,0.137,0.493,126.032,130952,4,Fall Through,36
0.609,0.94,10,-6.097,1,0.0617,0.00124,0.269,0.15,0.238,128.001,188592,4,Miracle Maker,65
0.637,0.863,1,-2.095,1,0.065,0.00284,9.06e-5,0.543,0.716,75.069,145600,4,Let It Spin,39
0.676,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,219332,4,Make It Better (feat. Smokey Robinson),60
0.372,0.53,1,-9.519,1,0.116,0.229,9.54e-4,0.627,0.169,136.976,187125,4,Lydia (please make it better),48
0.641,0.563,6,-10.532,1,0.0566,0.296,0.924,0.122,0.171,122.001,350164,5,Atlas,46
0.706,0.996,1,-0.37,0,0.171,0.0337,0.0955,0.332,0.606,140.136,156857,4,BURN,10
0.783,0.81,10,-4.041,0,0.0794,0.0226,0.257,0.119,0.38,124.028,305817,4,California - Chris Lake & Matroda Remix,40
0.794,0.684,1,-7.594,1,0.0668,0.00634,0.298,0.0881,0.542,123.024,168171,4,Magic Carpet,48
0.795,0.797,10,-5.96,0,0.0634,0.00438,0.302,0.129,0.627,124.952,189614,4,Rave Grave,41
0.707,0.893,7,-7.449,1,0.0543,0.00712,0.819,0.0802,0.159,130.009,498462,4,The Sound Of Space,51
0.559,0.32,6,-7.694,1,0.0414,0.0644,0.132,0.173,0.497,147.366,341200,4,Malibu 1992,59
0.302,0.557,9,-5.737,0,0.0326,0.063,0.344,0.118,0.103,113.563,411912,4,the BLACK seminole.,71
0.598,0.476,1,-10.168,1,0.0275,0.161,0,0.0513,0.533,114.977,238240,4,We Have No Secrets,34
0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315,261267,4,Rebirth Of Slick (Cool Like Dat),56
0.858,0.767,7,-8.645,1,0.302,0.00666,0,0.0489,0.753,91.522,226800,4,Ya Playin' Yaself,47
0.683,0.74,11,-6.041,0,0.0462,0.00228,0,0.238,0.65,129.515,281773,4,Thuggish Ruggish Bone,65
0.708,0.305,9,-14.003,1,0.817,0.138,3.08e-6,0.139,0.691,174.154,259453,4,Sound Bwoy Bureill,45
0.812,0.6,7,-9.414,1,0.254,0.00308,8.38e-6,0.173,0.555,97.338,226440,4,Award Tour,61
0.804,0.823,1,-5.422,0,0.256,0.0812,0,0.0794,0.719,87.322,300200,4,Temperature's Rising (feat. Crystal Johnson),53
0.726,0.603,9,-8.283,0,0.0613,0.309,0.0519,0.102,0.284,122.024,250291,4,Faisal (envelops me),54
0.61,0.76,0,-7.028,1,0.0582,0.0411,0.00975,0.12,0.458,129.93,229000,4,Roze (forgive),55
0.648,0.775,5,-4.798,1,0.0694,0.0561,0,0.444,0.371,128.072,217266,4,Billie (loving arms),54
0.751,0.478,11,-10.046,0,0.0432,0.35,5.73e-5,0.102,0.381,119.948,200612,4,halfway,16
0.533,0.496,6,-9.363,0,0.517,0.77,1.64e-4,0.0969,0.173,155.158,347987,4,2009,66
0.779,0.937,9,-6.269,0,0.0496,0.0443,0.101,0.0912,0.49,125.025,185000,4,San Frandisco,57
0.716,0.897,4,-7.185,0,0.0629,0.012,0.262,0.325,0.358,127.03,274142,4,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,70
0.805,0.884,1,-4.584,0,0.0573,0.139,0.00774,0.0729,0.478,119.991,131240,4,SHOOTERS,61
0.715,0.945,2,-6.464,0,0.0615,0.031,0.0845,0.268,0.599,132.005,238830,4,Kammy (like i do),57
0.687,0.413,6,-11.68,1,0.145,0.554,0.006,0.123,0.183,119.968,168245,4,Chika (scared),52
